Customer,Customer_Internal_ID,Frame,Item_Internal_ID,Sales_Price,Process,Step_Process,Coating,Foil_Material,Foil_Thickness,Colour,Attribute_Cost,Base_Cost
SRCTec (NY),46678,29 x 29 VectorGuard Foil,7800,400.0,Unknown,None,None,Unknown,Unknown,Unknown,0.0,400.0
Stentech Mexico (U),50130,29 x 29 SpaceSaver,7584,30.0,Unknown,None,None,Unknown,Unknown,Silver,0.0,30.0
BC DESIGN,49732,29 x 29 SpaceSaver,7584,29.0,Unknown,None,None,Unknown,Unknown,Silver,0.0,29.0
BC DESIGN,49732,23 x 23 Standard Tube,109054,34.0,Unknown,None,None,Unknown,Unknown,Green,0.0,34.0
Stentech Mexico (U),50130,29 x 29 Standard Tube,107891,29.0,Unknown,None,None,Unknown,Unknown,Green,0.0,29.0
BC DESIGN,49732,29 x 29 Standard Tube,107891,29.0,Unknown,None,None,Unknown,Unknown,Green,0.0,29.0
Sierra Space Corporation - (C),3369259,35 x 35 Standard Tube,447979,278.6991092246068,Unknown,None,None,Unknown,Unknown,Silver,0.0,278.6991092246068
"EOTech, LLC  (U)",54982,10 x 10 Cast Aluminum,102080,0.0,Chemetch,None,Advanced Nano,FG,4.0,Blue,163.0,-163.0
Acuity Brands - IN,21241,10 x 10 Cast Aluminum,102080,0.0,Chemetch,None,Advanced Nano,FG,4.0,Blue,163.0,-163.0
"DIVERSIFIED TECHNOLOGY, INC. - MA",2068061,12 x 12 Cast Aluminum,71192,400.0,Chemetch,Single,None,PHD,4.0,Silver,175.0,225.0
Avago Technologies,31785,12 x 12 SpaceSaver,443843,675.0,Chemetch,Single,Advanced Nano,PHD,1.6,Silver,338.0,337.0
Avago Technologies,31785,12 x 12 SpaceSaver,443843,1036.25,Chemetch,Single,Advanced Nano,PHD,1.6,Silver,338.0,698.25
Abbott (St. Jude Medical),3864710,15 x 15 Cast Aluminum,457562,586.0,Chemetch,Single,Nano Slic,FG,4.0,Silver,338.0,248.0
OSDA Contract Services (U),1399,23 x 23 Cast Aluminum,92517,675.0,Chemetch,Single,Advanced Nano,FG,3.0,Silver,338.0,337.0
Wall Industries,6030,23 x 23 QTS Foil,455314,375.0,Chemetch,Single,None,PHD,15.0,White,175.0,200.0
Wall Industries,6030,23 x 23 QTS Foil,442142,375.0,Chemetch,Single,None,PHD,4.0,White,175.0,200.0
MB TURNKEY DESIGN,2068116,23 x 23 QTS Foil,442142,375.0,Chemetch,Single,None,PHD,4.0,White,175.0,200.0
Wall Industries,6030,23 x 23 QTS Foil,447134,475.0,Chemetch,Double,None,PHD,4.0,White,175.0,300.0
Wall Industries,6030,23 x 23 QTS Foil,447135,575.0,Chemetch,Triple,None,PHD,4.0,White,175.0,400.0
TRANSISTOR DEVICES INC,2055455,23 x 23 QTS Foil,442531,375.0,Chemetch,Single,None,PHD,5.0,White,175.0,200.0
"National Circuit Assembly (Garland, TX)",12725,23 x 23 QTS Foil,86168,165.0,Chemetch,None,None,PHD,5.0,White,0.0,165.0
Logican Technologies Inc,611,23 x 23 QTS Foil,455507,257.2360863467544,Chemetch,Single,None,PHD,7.0,White,175.0,82.2360863467544
TRANSISTOR DEVICES INC,2055455,23 x 23 QTS Foil,455166,375.0,Chemetch,Single,None,PHD,8.0,Green,175.0,200.0
Spinnaker Contract Manufacturing Inc.,1480,23 x 23 SpaceSaver,92520,580.0,Chemetch,Single,Advanced Nano,FG,3.0,Silver,338.0,242.0
Macom(U),11904,23 x 23 SpaceSaver,92520,640.0,Chemetch,Single,Advanced Nano,FG,3.0,Silver,338.0,302.0
Bema Electronics,12066,23 x 23 SpaceSaver,91095,430.0,Chemetch,Single,None,FG,3.5,Silver,175.0,255.0
Cirtronics,6140,23 x 23 SpaceSaver,457821,600.0,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,262.0
Macom(U),11904,23 x 23 SpaceSaver,92780,505.46,Chemetch,Single,Advanced Nano,FG,4.0,Silver,338.0,167.45999999999998
Macom(U),11904,23 x 23 SpaceSaver,92780,640.0,Chemetch,Single,Advanced Nano,FG,4.0,Silver,338.0,302.0
Cirtronics,6140,23 x 23 SpaceSaver,92780,600.0,Chemetch,Single,Advanced Nano,FG,4.0,Silver,338.0,262.0
Cirtronics,6140,23 x 23 SpaceSaver,442094,409.0,Chemetch,Single,None,FG,4.0,Green,175.0,234.0
Cirtronics,6140,23 x 23 SpaceSaver,91220,409.0,Chemetch,Single,None,FG,4.0,Silver,175.0,234.0
Virtex (Orginally Circuit Technology Inc.),6035,23 x 23 SpaceSaver,93560,435.0,Chemetch,Single,Nano Wipe,FG,4.0,Silver,215.0,220.0
Distron Corporation,1215,23 x 23 SpaceSaver,93560,430.0,Chemetch,Single,Nano Wipe,FG,4.0,Silver,215.0,215.0
ACDi(MD),11971,23 x 23 SpaceSaver,92760,654.0,Chemetch,Double,Advanced Nano,FG,4.0,Silver,338.0,316.0
Cirtronics,6140,23 x 23 SpaceSaver,92760,750.0,Chemetch,Double,Advanced Nano,FG,4.0,Silver,338.0,412.0
Virtex (Orginally Circuit Technology Inc.),6035,23 x 23 SpaceSaver,93540,535.0,Chemetch,Double,Nano Wipe,FG,4.0,Silver,215.0,320.0
Intelligent Manufacturing Solutions (IMS Corp.),6125,23 x 23 SpaceSaver,92910,570.0,Chemetch,Single,Advanced Nano,FG,4.7,Silver,338.0,232.0
"Intervala, LLC (AKA EPE Corp.)",1237,23 x 23 SpaceSaver,92910,675.0,Chemetch,Single,Advanced Nano,FG,4.7,Silver,338.0,337.0
CURTISS WRIGHT CONTROLS,5007,23 x 23 SpaceSaver,456985,422.8538405700072,Chemetch,Single,Advanced Nano,FG,5.0,Green,338.0,84.85384057000721
Macom(U),11904,23 x 23 SpaceSaver,93040,640.0,Chemetch,Single,Advanced Nano,FG,5.0,Silver,338.0,302.0
"Inspired Energy, LLC",35846,23 x 23 SpaceSaver,72295,350.0,Chemetch,Single,None,PHD,10.0,Silver,175.0,175.0
Microboard Processing Inc.,2619,23 x 23 SpaceSaver,74375,518.0,Chemetch,Single,Advanced Nano,PHD,3.0,Silver,338.0,180.0
Virtex (Orginally Circuit Technology Inc.),6035,23 x 23 SpaceSaver,74370,520.0,Chemetch,Single,Advanced Nano,PHD,3.0,Silver,338.0,182.0
Microboard Processing Inc.,2619,23 x 23 SpaceSaver,74500,518.0,Chemetch,Single,Advanced Nano,PHD,3.5,Silver,338.0,180.0
Microboard Processing Inc.,2619,23 x 23 SpaceSaver,457561,643.0,Chemetch,Double,Advanced Nano,PHD,3.5,Green,338.0,305.0
Microboard Processing Inc.,2619,23 x 23 SpaceSaver,74480,643.0,Chemetch,Double,Advanced Nano,PHD,3.5,Silver,338.0,305.0
Zentech Bloomington (IL),1168,23 x 23 SpaceSaver,71255,785.0,Chemetch,Single,None,PHD,4.0,Silver,175.0,610.0
Microboard Processing Inc.,2619,23 x 23 SpaceSaver,127747,518.0,Chemetch,Single,Advanced Nano,PHD,4.0,Green,338.0,180.0
Microboard Processing Inc.,2619,23 x 23 SpaceSaver,127747,0.0,Chemetch,Single,Advanced Nano,PHD,4.0,Green,338.0,-338.0
